action,parent,2011,2012,2013,2014,2015
arrest,,25961,27105,22288,--,19278
diversion by police,arrest,7932,10938,6766,--,6967
prosecute,arrest,17925,16167,15522,--,12761
transfer to adult court,arrest,104,--,--,--,--
recommend detention,prosecute,5917,5596,5551,--,5888
don't detain,prosecute,12008,10571,10571,--,6873
detention screening,recommend detention,5917,5596,5551,--,5888
detain,detention screening,3401,3227,2910,--,2935
don't detain,detention screening,1214,1096,1099,--,1528
place in shelter,detention screening,113,1273,1542,--,1425
24-hour non-secure custody,detention screening,1189,--,--,--,--
case screening,childen of detention screening,17925,16167,15522,--,12761
transfer to adult court,case screening,0,0,0,--,0
case filed,case screening,6463,6115,6036,--,4905
diversion by state's attorney,case screening,3145,2540,2290,--,1876
case not filed,case screening,8317,7512,7196,--,5980
probable cause hearing,case filed,6463,6115,6036,--,4905
probable cause found,probable cause hearing,6419,6054,5962,--,4796
probable cause not found,probable cause hearing,44,61,74,--,109
detain,probable cause found,725,1080,1266,--,1080
don't detain,probable cause found,3326,2359,3413,--,2359
dentention alternative,probable cause found,2368,1357,1283,--,1357
trial,childen of probable cause found,298,301,413,--,719
noelle prosequi,childen of probable cause found,3124,2791,2450,--,2293
supervision,childen of probable cause found,1792,1610,1458,--,1075
plea,childen of probable cause found,3242,2988,3640,--,4068
guilty,"plea, trial",3440,3191,2634,--,3734
not guilty,trial,100,98,274,--,385
dept. of juvenile justice,guilty,486,443,420,--,421
dcfs guardianship,guilty,35,73,38,--,75
jtdc,guilty,462,370,387,--,278
residential placement,guilty,17,5,1,--,1
probation,guilty,3967,3804,3461,--,2959