dist_num,black_female,black_male,hispanic_female,hispanic_male,white_female,white_male
1,372,601,21,45,306,105
2,3765,4614,147,219,417,327
3,4433,4342,77,71,17,124
4,4173,4498,2829,2708,213,271
5,4309,4658,113,130,49,44
6,5161,5804,55,51,0,8
7,4279,4308,100,216,11,12
8,3146,3304,12187,12142,1437,1611
9,1414,1316,7202,8031,587,883
10,2260,2334,5643,5012,42,57
11,5230,5333,754,612,45,41
12,1911,2191,2774,2699,551,504
14,727,771,3067,2742,420,489
15,3900,3774,236,145,16,12
16,187,140,3315,4413,5194,5186
17,323,226,4442,4043,1605,1585
18,585,381,107,190,925,920
19,359,442,687,600,2339,2638
20,185,273,683,842,593,851
22,3515,3205,253,332,1937,1802
24,1438,1197,1731,2258,1894,1804
25,1990,2123,9048,9785,576,418